Data							
Generate on XXXX-XX-XX							
resort	confirmation_no	resv_status	business_date	market_code	country_code	no_rooms_cal	rev_cal
Example	581424	CHECKED IN	01-07-2023	test1	TH	0	0
Example	581426	CHECKED IN	01-07-2023	test1	TH	0	0
Example	584421	CHECKED IN	01-07-2023	test2	TH	0	0
Example	590077	CHECKED IN	01-07-2023	test2	TH	0	0
Example	590687	CHECKED IN	01-07-2023	test3	TH	0	0
Example	590758	CHECKED OUT	01-07-2023	test2	FR	0	0
Example	591767	CHECKED IN	01-07-2023	test4	NL	0	0
Example	592480	CHECKED IN	01-07-2023	test2	TH	0	0
Example	592694	CHECKED IN	01-07-2023	test1	MY	0	0
Example	592841	CHECKED OUT	01-07-2023	test5	LA	0	0
Example	592874	CHECKED IN	01-07-2023	test1	BE	0	0
Example	593309	CANCELLED	01-07-2023	test6	TH	0	0
Example	593310	CHECKED OUT	01-07-2023	test7	TH	0	0
Example	589884	CHECKED OUT	01-07-2023	test8	JP	1	2519.29
Example	593447	CHECKED OUT	01-07-2023	test8	TH	0	0
Example	589915	CANCELLED	01-07-2023	test9	TH	0	0
Example	589918	CHECKED OUT	01-07-2023	test10	SE	1	5660.6
Example	593391	CHECKED OUT	01-07-2023	test10	SE	0	0
Example	593392	CHECKED OUT	01-07-2023	test10	SE	0	0
Example	590943	CANCELLED	01-07-2023	test7	IN	0	0
Example	590990	CHECKED OUT	01-07-2023	test11	SG	0	0
Example	591020	CHECKED OUT	01-07-2023	test12	TH	1	3230.74
Example	593212	CHECKED OUT	01-07-2023	test12	CH	0	0
Example	591042	CHECKED OUT	01-07-2023	test8	AE	1	2222.62
Example	592969	CHECKED OUT	01-07-2023	test8	AE	0	0
Example	591043	CHECKED OUT	01-07-2023	test8	AE	1	2222.62
Example	592967	CHECKED OUT	01-07-2023	test8	AE	0	0
Example	592220	CANCELLED	01-07-2023	test11	IN	0	0
Example	592256	CANCELLED	01-07-2023	test11	GB	0	0
Example	592282	CHECKED OUT	01-07-2023	test13	TH	0	0
Example	592283	CHECKED OUT	01-07-2023	test14	AT	1	5020
Example	593477	CHECKED OUT	01-07-2023	test14	TH	0	0
Example	592288	CANCELLED	01-07-2023	test9	IN	0	0
Example	592293	CHECKED OUT	01-07-2023	test8	MY	0	0
Example	592948	CHECKED OUT	01-07-2023	test8	TH	0	0
Example	592296	CHECKED OUT	01-07-2023	test4	HK	1	3022.22
Example	592782	CHECKED OUT	01-07-2023	test4	HK	0	0
Example	592298	CHECKED OUT	01-07-2023	test11	TR	1	3699.84
Example	592301	CHECKED OUT	01-07-2023	test15	GB	1	4470
Example	592304	CHECKED OUT	01-07-2023	test4	IN	0	0.01
Example	592546	CHECKED OUT	01-07-2023	test4	MM	0	0
Example	593315	NO SHOW	01-07-2023	test11	IN	0	0
Example	593322	CHECKED OUT	01-07-2023	test16	TH	0	1949.03
Example	593397	CHECKED OUT	01-07-2023	test16	TH	0	0
Example	593324	CHECKED OUT	01-07-2023	test9	TH	1	2717.07
Example	593337	CHECKED OUT	01-07-2023	test4	US	1	3195.99
Example	593365	CHECKED OUT	01-07-2023	test17	JP	1	2945.99
Example	535535	CANCELLED	01-07-2023	test11	US	0	0
Example	542007	CANCELLED	01-07-2023	test11	US	0	0
Example	544836	CANCELLED	01-07-2023	test7	BD	0	0
Example	549931	CANCELLED	01-07-2023	test11	IL	0	0
Example	549932	CANCELLED	01-07-2023	test11	IL	0	0
Example	549933	CANCELLED	01-07-2023	test11	IL	0	0
Example	549934	CANCELLED	01-07-2023	test11	IL	0	0
