resort|confirmation_no|resv_status|business_date|market_code|country_code|no_rooms_cal|rev_cal
Example|589551|CHECKED OUT|1/7/23|test8|MY|1|2339.62
Example|592010|CHECKED OUT|1/7/23|test8|SA|1|2889.69
Example|592011|CHECKED OUT|1/7/23|test8|SA|1|2549.85
Example|592037|CHECKED OUT|1/7/23|test12|JP|1|3361.5
Example|592046|CHECKED OUT|1/7/23|test9|CN|1|2048.85
Example|593028|CHECKED OUT|1/7/23|test20|GB|1|2553.78
Example|589639|CHECKED OUT|1/7/23|test12|SA|1|3011.5
Example|590816|CHECKED OUT|1/7/23|test11|SA|1|2992.51
Example|590845|CHECKED OUT|1/7/23|test8|JP|1|2222.62
Example|592065|CHECKED OUT|1/7/23|test12|IN|1|2925
Example|593039|CHECKED OUT|1/7/23|test20|IL|1|2388.7
Example|591596|CHECKED OUT|1/7/23|test20|CN|1|2298.85
Example|591597|CHECKED OUT|1/7/23|test20|CN|1|2048.85
Example|591598|CHECKED OUT|1/7/23|test20|CN|1|2298.85
Example|591603|CHECKED OUT|1/7/23|test21|IT|1|3850
Example|592139|CHECKED OUT|1/7/23|test8|TH|1|2387
Example|592153|CHECKED OUT|1/7/23|test11|SA|1|3159.27
Example|593167|CHECKED OUT|1/7/23|test9|DE|1|2515.81
Example|593170|CHECKED OUT|1/7/23|test9|US|1|3909.18
Example|593219|CHECKED OUT|1/7/23|test6|SA|1|3394.22
Example|589884|CHECKED OUT|1/7/23|test8|JP|1|2519.29
Example|591020|CHECKED OUT|1/7/23|test12|TH|1|3230.74
Example|591042|CHECKED OUT|1/7/23|test8|AE|1|2222.62
Example|591043|CHECKED OUT|1/7/23|test8|AE|1|2222.62
Example|592296|CHECKED OUT|1/7/23|test4|HK|1|3022.22
Example|592298|CHECKED OUT|1/7/23|test11|TR|1|3699.84
Example|592301|CHECKED OUT|1/7/23|test15|GB|1|4470
Example|593324|CHECKED OUT|1/7/23|test9|TH|1|2717.07
Example|593337|CHECKED OUT|1/7/23|test4|US|1|3195.99
Example|593365|CHECKED OUT|1/7/23|test17|JP|1|2945.99
Example|561374|CHECKED OUT|1/7/23|test18|CH|1|2451.58
Example|591046|CHECKED OUT|1/7/23|test8|AE|1|2222.6
Example|591068|CHECKED OUT|1/7/23|test15|IN|1|3899.7
Example|591765|CHECKED OUT|1/7/23|test9|CN|1|2643.58
Example|592315|CHECKED OUT|1/7/23|test19|KR|1|4000
Example|592338|CHECKED OUT|1/7/23|test8|JP|1|2720
Example|592370|CHECKED OUT|1/7/23|test11|JP|1|3600
Example|588614|CHECKED OUT|1/7/23|test11|TW|1|3059.68
Example|588729|CHECKED OUT|1/7/23|test11|US|1|4682.6
Example|592388|CHECKED OUT|1/7/23|test20|SE|1|2218.77
